ds,yhat,yhat_lower,yhat_upper
2023-08-01,564882.1603258353,559620.9128009225,570669.3167446472
2023-09-01,617687.6306321465,612168.2401054128,622976.5016543992
2023-10-01,683321.6078331674,677669.1109536584,688929.8302555672
2023-11-01,636861.3590917967,631698.196522721,642313.7025089656
2023-12-01,655622.4961914651,650035.8902573842,661401.9776307968
2024-01-01,681121.1461991108,675401.3391094443,686893.3669379638
2024-02-01,587010.0084985573,581003.2941484589,592692.9360221203
2024-03-01,637098.0459567351,631798.3707629706,642716.1728548956
2024-04-01,609794.507015491,603961.0037194751,615434.588716276
2024-05-01,702897.7716794971,697064.3342441197,708730.8808927635
2024-06-01,673301.3484513275,667725.3165914529,678834.3022354372
2024-07-01,647176.4187072869,641154.5977260298,653223.6856361211
2024-08-01,676717.1658568232,671558.0254395608,682542.5976740709
2024-09-01,672435.3772330408,666368.2885412613,678172.338465785
2024-10-01,715525.2348672696,709909.7513212265,720914.6221253241
2024-11-01,660507.3543998707,655019.0442056007,665802.7746875136
2024-12-01,650265.9922561551,644811.8435437416,655913.5650920346
2025-01-01,660799.0926340154,655232.2605120544,665818.484903038
2025-02-01,588495.6281880143,582874.6057927255,594136.603280292
2025-03-01,630308.4433569731,624966.1716331132,636275.9579973985
2025-04-01,594329.4215976093,588546.8288888015,600071.0395369378
2025-05-01,671846.5289943558,666175.2841403559,677443.4388405363
2025-06-01,616066.9203118061,610363.600488892,621642.1082910562
2025-07-01,681395.1827701135,675741.9895972809,686974.7438818655
2025-07-31,502780.8217229643,497354.3295756429,508504.0725023802
2025-08-31,588183.5439053895,582601.6898838092,594032.6317377446
2025-09-30,659377.128132619,653826.0210057582,665290.7621096816
2025-10-31,608696.9586733357,602289.1338211204,614354.3182297671
2025-11-30,636458.9525861521,630035.534764118,642956.3748245845
2025-12-31,660184.1888642324,652772.915838172,666960.7698830838
2026-01-31,541068.4269871449,532863.32227391,548925.5125516799
2026-02-28,598295.5936034253,589549.4745458777,607129.9565461715
2026-03-31,549047.9125829389,538746.9983190666,558674.2484152202
2026-04-30,580304.090751673,568624.4826682799,590407.406184833
2026-05-31,441623.1236774223,428746.3103324713,454463.28770459245
2026-06-30,977332.481239626,963446.103186687,990325.8020248504
